incident_id,title,severity,status,created_at,asset_id,hostname,summary
INC-0001,Phishing Alert Involving User Credential,High,Closed,5/6/26 17:00,A040,FIN-LAPTOP-40,Phishing Alert Involving User Credential observed on FIN-LAPTOP-40 in the Finance department.
INC-0002,Suspicious DNS Query,Medium,Closed,6/4/26 11:00,A004,FIN-SRV-04,Suspicious DNS Query observed on FIN-SRV-04 in the Finance department.
INC-0003,Suspicious DNS Query,Medium,Closed,6/3/26 7:00,A014,EXE-SRV-14,Suspicious DNS Query observed on EXE-SRV-14 in the Executive department.
INC-0004,Suspicious DNS Query,Medium,Closed,6/3/26 13:00,A006,SAL-LAPTOP-06,Suspicious DNS Query observed on SAL-LAPTOP-06 in the Sales department.
INC-0005,Remote Service Lateral Movement,High,Investigating,6/14/26 23:00,A041,EXE-LAPTOP-41,Remote Service Lateral Movement observed on EXE-LAPTOP-41 in the Executive department.
INC-0006,Malware Download Observed,High,Closed,6/13/26 9:00,A012,DB-12,Malware Download Observed observed on DB-12 in the Sales department.
INC-0007,Phishing Alert Involving User Credential,High,Open,5/26/26 16:00,A032,DB-32,Phishing Alert Involving User Credential observed on DB-32 in the Operations department.
INC-0008,Malware Download Observed,High,Investigating,5/13/26 12:00,A029,OPS-SRV-29,Malware Download Observed observed on OPS-SRV-29 in the Operations department.
INC-0009,Suspicious DNS Query,Medium,Closed,6/11/26 14:00,A009,FIN-SRV-09,Suspicious DNS Query observed on FIN-SRV-09 in the Finance department.
INC-0010,Malware Download Observed,High,Closed,6/6/26 13:00,A007,FIN-LAPTOP-07,Malware Download Observed observed on FIN-LAPTOP-07 in the Finance department.
INC-0011,Scheduled Task Persistence,Medium,Investigating,5/4/26 2:00,A053,WEB-53,Scheduled Task Persistence observed on WEB-53 in the Sales department.
INC-0012,Scheduled Task Persistence,Medium,Closed,5/23/26 18:00,A070,FIN-SRV-70,Scheduled Task Persistence observed on FIN-SRV-70 in the Finance department.
INC-0013,Remote Service Lateral Movement,High,Investigating,5/23/26 5:00,A029,OPS-SRV-29,Remote Service Lateral Movement observed on OPS-SRV-29 in the Operations department.
INC-0014,Scheduled Task Persistence,Medium,Open,5/3/26 2:00,A023,SAL-LAPTOP-23,Scheduled Task Persistence observed on SAL-LAPTOP-23 in the Sales department.
INC-0015,Suspicious PowerShell Execution,High,Closed,5/10/26 18:00,A008,DB-08,Suspicious PowerShell Execution observed on DB-08 in the HR department.
INC-0016,Ransomware-like File Activity,Critical,Closed,5/21/26 4:00,A044,IT-LAPTOP-44,Ransomware-like File Activity observed on IT-LAPTOP-44 in the IT department.
INC-0017,Remote Service Lateral Movement,High,Investigating,6/6/26 1:00,A001,SAL-LAPTOP-01,Remote Service Lateral Movement observed on SAL-LAPTOP-01 in the Sales department.
INC-0018,Credential Dumping Suspected,Critical,Closed,6/15/26 21:00,A022,WEB-22,Credential Dumping Suspected observed on WEB-22 in the Finance department.
INC-0019,Scheduled Task Persistence,Medium,Closed,5/25/26 11:00,A053,WEB-53,Scheduled Task Persistence observed on WEB-53 in the Sales department.
